"","Wind.Exposure","Genotype","fit","se","lower","upper","response"
"1","Exposed","F",3.84148795439729,0.245270031875199,3.35591123326223,4.32706467553235,"root_CN"
"2","Unexposed","F",3.6971302175277,0.21814780032077,3.26524910758239,4.12901132747302,"root_CN"
"3","Exposed","G",3.73490411750113,0.318682072045937,3.10398889950446,4.3658193354978,"root_CN"
"4","Unexposed","G",3.80025520633503,0.286046859703557,3.23394999911547,4.36656041355459,"root_CN"
"5","Exposed","I",4.02726830912265,0.245452764535413,3.54132982048868,4.51320679775663,"root_CN"
"6","Unexposed","I",4.12442911041048,0.230076777636595,3.66893144345154,4.57992677736942,"root_CN"
"7","Exposed","J",3.78423673844715,0.245174658048871,3.29884883495735,4.26962464193695,"root_CN"
"8","Unexposed","J",3.87228961231306,0.262607696721803,3.35238841058824,4.39219081403789,"root_CN"
"9","Exposed","L",4.14771486094339,0.286822002914151,3.57987505328474,4.71555466860203,"root_CN"
"10","Unexposed","L",4.21188296941572,0.207928039010919,3.8002345725731,4.62353136625834,"root_CN"
"11","Exposed","S",3.4930124989837,0.365573079408468,2.76926416382332,4.21676083414408,"root_CN"
"12","Unexposed","S",3.96549403730549,0.24452049215527,3.48140122774651,4.44958684686447,"root_CN"
"13","Exposed","T",4.01337169841309,0.218008653536113,3.58176606622971,4.44497733059648,"root_CN"
"14","Unexposed","T",3.85030668103925,0.21808064980902,3.41855851324373,4.28205484883477,"root_CN"
"15","Exposed","U",3.98399881518059,0.245327136829079,3.49830903972718,4.469688590634,"root_CN"
"16","Unexposed","U",4.07656233790528,0.230063278121403,3.62109139679734,4.53203327901323,"root_CN"
"17","Exposed","W",3.67705853712188,0.230975836710724,3.21978094558763,4.13433612865613,"root_CN"
"18","Unexposed","W",3.84420278882434,0.24449024718908,3.36016985715342,4.32823572049526,"root_CN"
"19","Exposed","X",3.78372434800295,0.230625533422365,3.32714027422488,4.24030842178102,"root_CN"
"20","Unexposed","X",4.13390059617686,0.244457500209743,3.64993249578897,4.61786869656476,"root_CN"
