sc.trait.PC1,sc.trait.PC2,total.rich,Block,Plot_code,cond__,estimate__,se__,lower__,upper__,Experiment,Year,Trait
-2.6850864221686144,4.915049848600954e-18,NA,NA,NA,1,0.31621264803879257,0.0881199178240202,0.17121424355387713,0.5431062817027071,Wind,2012,Arthropod Richness - Trait PC1
-2.629172402892033,4.915049848600954e-18,NA,NA,NA,1,0.3212859450443596,0.08845710243930625,0.17563788702477728,0.5478392159685002,Wind,2012,Arthropod Richness - Trait PC1
-2.5732583836154515,4.915049848600954e-18,NA,NA,NA,1,0.32610918095788327,0.0885200608133426,0.18017937479654383,0.5526134000845402,Wind,2012,Arthropod Richness - Trait PC1
-2.51734436433887,4.915049848600954e-18,NA,NA,NA,1,0.33136081320540633,0.08896225364779778,0.18483829237189522,0.557429193599443,Wind,2012,Arthropod Richness - Trait PC1
-2.461430345062289,4.915049848600954e-18,NA,NA,NA,1,0.3365946106874402,0.0896867492466447,0.18961767614927955,0.5622869591960735,Wind,2012,Arthropod Richness - Trait PC1
-2.4055163257857073,4.915049848600954e-18,NA,NA,NA,1,0.3419868903753046,0.09012169094846244,0.1945206410397577,0.5669686842337288,Wind,2012,Arthropod Richness - Trait PC1
-2.349602306509126,4.915049848600954e-18,NA,NA,NA,1,0.34727318475696645,0.08908659381634704,0.19955038249711637,0.5715996655924338,Wind,2012,Arthropod Richness - Trait PC1
-2.293688287232545,4.915049848600954e-18,NA,NA,NA,1,0.3525935491872568,0.08864952344986547,0.20471017860047552,0.576268477230307,Wind,2012,Arthropod Richness - Trait PC1
-2.237774267955963,4.915049848600954e-18,NA,NA,NA,1,0.357975249802552,0.08820690835241744,0.20991330613284387,0.5809754282210895,Wind,2012,Arthropod Richness - Trait PC1
-2.181860248679382,4.915049848600954e-18,NA,NA,NA,1,0.36383094676397587,0.08891656452995524,0.21518285084355146,0.5857208301640051,Wind,2012,Arthropod Richness - Trait PC1
-2.1259462294028006,4.915049848600954e-18,NA,NA,NA,1,0.36911466545908966,0.08953862849299282,0.22072385215525486,0.5908728838914065,Wind,2012,Arthropod Richness - Trait PC1
-2.070032210126219,4.915049848600954e-18,NA,NA,NA,1,0.3747554377253426,0.09042843364197375,0.2264527132007742,0.596313491756885,Wind,2012,Arthropod Richness - Trait PC1
-2.0141181908496377,4.915049848600954e-18,NA,NA,NA,1,0.38078378604666774,0.09057670865430553,0.23233271607793274,0.6018041988434979,Wind,2012,Arthropod Richness - Trait PC1
-1.958204171573056,4.915049848600954e-18,NA,NA,NA,1,0.3860661942075839,0.09021361342702383,0.23837825586388625,0.607345466514681,Wind,2012,Arthropod Richness - Trait PC1
