"","Wind.Exposure","Genotype","fit","se","lower","upper","response","experiment","Aphid.treatment","Ant.mound.dist"
"1","Exposed","F",1.44690604385177,0.362019702660889,0.711686292522291,2.94165719043857,"arthropod_abund","wind",NA,NA
"2","Unexposed","F",1.6283384393188,0.356121515938615,0.810239648421816,3.27247139550347,"arthropod_abund","wind",NA,NA
"3","Exposed","G",0.241296215750064,0.612007435926113,0.0727124598500199,0.800741218979483,"arthropod_abund","wind",NA,NA
"4","Unexposed","G",0.626038636904526,0.412975253777058,0.278660854065084,1.40645651938517,"arthropod_abund","wind",NA,NA
"5","Exposed","I",1.24927449318452,0.38569029434827,0.586621126011495,2.66046804337364,"arthropod_abund","wind",NA,NA
"6","Unexposed","I",1.08733823994871,0.375833178757338,0.520540925614188,2.27129969974934,"arthropod_abund","wind",NA,NA
"7","Exposed","J",0.217735495931651,0.509103326926172,0.0802748859729661,0.590580050211065,"arthropod_abund","wind",NA,NA
"8","Unexposed","J",0.722957357290547,0.42614705407899,0.313599709479863,1.6666703592533,"arthropod_abund","wind",NA,NA
"9","Exposed","L",0.567819139139911,0.424279941020326,0.247207866440092,1.30424075664164,"arthropod_abund","wind",NA,NA
"10","Unexposed","L",1.50463163330199,0.355923261672092,0.748975753497635,3.02268309936708,"arthropod_abund","wind",NA,NA
"11","Exposed","S",0.4240246020644,0.669495194275032,0.114160460695339,1.57494864737537,"arthropod_abund","wind",NA,NA
"12","Unexposed","S",1.970839518066,0.394506012147129,0.909593054619877,4.27027051959388,"arthropod_abund","wind",NA,NA
"13","Exposed","T",0.864949445537645,0.403176091102312,0.39247013406398,1.90622796081069,"arthropod_abund","wind",NA,NA
"14","Unexposed","T",1.22060947747561,0.365297547846548,0.59653358731126,2.49757520480716,"arthropod_abund","wind",NA,NA
"15","Exposed","U",0.971394699392613,0.406866949592595,0.437592584676903,2.15636117943995,"arthropod_abund","wind",NA,NA
"16","Unexposed","U",1.43492586626747,0.383922583665933,0.676135857771121,3.04526408120251,"arthropod_abund","wind",NA,NA
"17","Exposed","W",1.67773069372034,0.35240349344795,0.840922267078401,3.34725383171345,"arthropod_abund","wind",NA,NA
"18","Unexposed","W",2.02909682790469,0.364288207607934,0.993619457449281,4.14367281774275,"arthropod_abund","wind",NA,NA
"19","Exposed","X",0.337605334063971,0.494506644256173,0.128080932554283,0.889885475655322,"arthropod_abund","wind",NA,NA
"20","Unexposed","X",1.01255064610194,0.413446922762952,0.450287712889757,2.2768971516939,"arthropod_abund","wind",NA,NA
"21","Exposed","F",0.683483190569186,0.275680785045746,0.398169443759739,1.1732423949451,"arthropod_rich","wind",NA,NA
"22","Unexposed","F",1.15176622341258,0.218681519411735,0.750278137262222,1.76809821253052,"arthropod_rich","wind",NA,NA
"23","Exposed","G",0.301175024373355,0.504992719912789,0.11193563611908,0.810344216115366,"arthropod_rich","wind",NA,NA
"24","Unexposed","G",0.580237257252374,0.310631417723451,0.315642641686591,1.06663432071402,"arthropod_rich","wind",NA,NA
"25","Exposed","I",0.63197179260658,0.3117054658568,0.343062715452063,1.16418464805798,"arthropod_rich","wind",NA,NA
"26","Unexposed","I",0.958901027365212,0.243031626069494,0.595531706790355,1.54398358609267,"arthropod_rich","wind",NA,NA
"27","Exposed","J",0.350733085685948,0.389174843281274,0.163572581932435,0.752043502288169,"arthropod_rich","wind",NA,NA
"28","Unexposed","J",0.726156766098754,0.306789148923143,0.398007257500253,1.32485938136609,"arthropod_rich","wind",NA,NA
